Gene.Ensembl	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	rank
73	ENSMUSG00000050241	2.18109216861836	4.86015077433751	12.5681966457566	3.13195323709422e-12	6.58225021417801e-10	18.0782963398388	Klre1	107
5073	ENSMUSG00000030270	2.17726251961047	-2.34792962502464	2.89022909108348	0.00790211703934512	0.0238979459131939	-2.51748780734951	Cpne9	108
296	ENSMUSG00000030792	2.16539064343052	1.82390227950231	9.10329886538818	2.28925328167149e-09	1.18654472457446e-07	11.4191009488923	Dkkl1	109
626	ENSMUSG00000034573	2.16028318708035	3.85649233820324	7.39345201139711	1.03114415394904e-07	2.52712677474221e-06	7.74431647752397	Ptpn13	110
1293	ENSMUSG00000032899	2.15928955975747	0.461595186509273	5.80740375669426	4.90608644229472e-06	5.82128214985968e-05	4.20045511544103	Styk1	111
2008	ENSMUSG00000098843	2.13302227271433	-0.544447984390016	4.90363398536551	4.92604350547876e-05	0.000376371312057047	1.90289049949167	Gm27240	112
1980	ENSMUSG00000032135	2.13301951540853	1.1554420432628	4.92435724641975	4.67007597078863e-05	0.000361860129009289	2.08320846908635	Mcam	113
5603	ENSMUSG00000085205	2.12640900319747	-1.46481557512583	2.67344672491558	0.0131054529116474	0.0358850363324101	-2.82267796183581	Gm13185	114
1097	ENSMUSG00000070999	2.12054826383111	-0.240580069874162	6.1681309684777	1.98867958937532e-06	2.78125088971706e-05	4.53781933989602	Ccin	115
2303	ENSMUSG00000027276	2.11882287971713	0.923576083808936	4.6215160937845	0.000101939581999641	0.000679095556681931	1.36981278580926	Jag1	116
5081	ENSMUSG00000086228	2.11378047158116	-2.97472766676032	2.88809840434517	0.00794204346240371	0.0239808759693363	-2.53934707582054	Ubap1l	117
6670	ENSMUSG00000085341	2.09474114615497	-1.53164462307889	2.27652245209805	0.0317463759593631	0.0730214242831407	-3.48022162505496	NA	118
1473	ENSMUSG00000034958	2.09291903797401	0.697840853984632	5.56150037918109	9.14070008588957e-06	9.52047662713631e-05	3.57792031741369	Atcay	119
211	ENSMUSG00000021796	2.08567625684925	3.38021435683695	9.88288829431072	4.5812691960277e-10	3.33108208556668e-08	13.1682786456008	Bmpr1a	120
706	ENSMUSG00000014932	2.07292367911538	3.04227490459669	7.13176318018924	1.91042411510519e-07	4.14707153872623e-06	7.24580873217861	Yes1	121
35	ENSMUSG00000054364	2.0718439828461	4.93876843745299	14.496463442768	1.38208323127164e-13	6.05826312404842e-11	21.1196801102425	Rhob	122
5194	ENSMUSG00000000942	2.07175630019507	-3.30124975117579	2.84536907831348	0.00878434156846245	0.0259471252105027	-2.62577758059582	Hoxa4	123
7657	ENSMUSG00000075014	2.07105546374629	-1.11964963788136	1.92557711955977	0.0657388101956122	0.131707205709032	-3.99393677202448	Gm10800	124
4962	ENSMUSG00000057359	2.06353593850129	-0.23218674639918	2.93583104948047	0.00709197137448038	0.0219276551445542	-2.3357332374153	Gm17494	125
485	ENSMUSG00000051359	2.05079527180879	2.88447200453169	7.94595745872084	2.88795983424295e-08	9.13548036638254e-07	9.0919753520623	Ncald	126
2429	ENSMUSG00000044957	2.03631257331336	-0.76143797029685	4.50318926572566	0.000138316096949037	0.000873629295756331	0.880673617806845	Pp2d1	127
9135	ENSMUSG00000057886	2.03206637078916	0.864918874110338	1.48999494404903	0.14887962881284	0.250039547372369	-4.91307753382985	Cbx3-ps6	128
6230	ENSMUSG00000097206	2.03091662136602	-0.0718673095506279	2.43395321029971	0.0225095794684453	0.0554320976251826	-3.34744752656416	NA	129
38	ENSMUSG00000030167	2.00995384360978	5.41074923246743	14.2130047505927	2.14096997830831e-13	8.64388458084371e-11	20.6940772301773	Klrc1	130
3179	ENSMUSG00000015437	2.00052849114456	4.5180287035657	3.93481206617016	0.000595449870293399	0.00287366842090007	-1.02575220640367	Gzmb	131
533	ENSMUSG00000037032	1.99925933370586	1.80087388356938	7.74641983470597	4.55194956052243e-08	1.31024409301192e-06	8.58757469624875	Apbb1	132
2799	ENSMUSG00000005045	1.99748131295227	-0.662524062624612	4.21145273854618	0.000293169562316431	0.00160693369955652	0.289970335608889	Chd5	133
4949	ENSMUSG00000089994	1.99568849843299	-1.78333363141852	2.94266064994766	0.00697766821024164	0.0216309124432264	-2.32260173322722	Gm16239	134
402	ENSMUSG00000026358	1.98345582777822	4.36443236101622	8.40203899468007	1.04122295145696e-08	3.97374192070964e-07	9.96561871276227	Rgs1	135
72	ENSMUSG00000042766	1.98257630879577	2.24929475329588	12.5788982011611	3.07517623390513e-12	6.55268802507951e-10	17.6157597187148	Trim46	136
3023	ENSMUSG00000045377	1.98175500580659	-2.08076049531036	4.03934960823431	0.00045585755772002	0.00231351857444279	-0.36748968238984	Tmem88	137
4381	ENSMUSG00000048617	1.97930964078149	-1.9128836029782	3.20945504460331	0.0036650354911595	0.0128347351073657	-1.89005988053142	Rtbdn	138
3132	ENSMUSG00000078157	1.97846315682679	-1.83539888496978	3.96678249605258	0.000548788224593853	0.00268822124575954	-0.402801025293922	Fem1al	139
473	ENSMUSG00000052364	1.97363071860576	0.924149226655391	8.0046103053036	2.52895840524287e-08	8.20170849424297e-07	8.98496270319344	B630019K06Rik	140
4465	ENSMUSG00000085666	1.97233352640222	2.65104571435253	3.17209628745863	0.00401485814112728	0.0137952863608454	-1.87123302006459	Tdg-ps2	141
5407	ENSMUSG00000086953	1.96458196198821	-2.11588277886394	2.75214398785275	0.010924797317282	0.0309948396852077	-2.69104131275714	Aknaos	142
6556	ENSMUSG00000097799	1.96456566735328	-1.0838038780803	2.31346050543673	0.0293120998577397	0.0685917390142871	-3.44691479290054	NA	143
5515	ENSMUSG00000090697	1.95200660615284	-1.08911660953132	2.70141633768273	0.0122873859966151	0.0341818814070841	-2.78030934579265	NA	144
3418	ENSMUSG00000085884	1.95113377912985	-1.79127882713623	3.78058670224721	0.000881512448460672	0.00395674780113623	-0.765712327278982	Gm15342	145
