"Gene.Ensembl","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000036478",0.988266686810245,9.19567767377909,11.5074761927376,2.03709499925398e-11,3.3628725113302e-09,15.9565968756145
"ENSMUSG00000017639",0.718088391383667,7.20143090096545,11.5070969958583,2.03850308664913e-11,3.3628725113302e-09,15.9822346155019
"ENSMUSG00000031134",-0.572507196063992,6.48888093807859,-11.4931885564047,2.09085098871728e-11,3.4125357307341e-09,15.9760023532027
"ENSMUSG00000064341",-0.961608657887853,10.9172966620782,-11.4685534440288,2.18700745022056e-11,3.53190192645093e-09,15.8814294229385
"ENSMUSG00000028034",-1.1636934334083,7.56859516140659,-11.4481091970404,2.27027124529601e-11,3.62817723388868e-09,15.8650192701037
"ENSMUSG00000006463",-1.10733325872855,3.46977527249554,-11.4349020833101,2.32579558581591e-11,3.67859338944203e-09,16.1000545035117
"ENSMUSG00000035828",1.09116996961276,4.7513616803355,11.4187412615055,2.39565183390488e-11,3.75041739140497e-09,16.0110074860224
"ENSMUSG00000085289",2.60138930955403,1.82296204108346,11.399981494214,2.47946841527902e-11,3.84242468961724e-09,15.4331699011825
"ENSMUSG00000025982",-0.726207519249558,9.76433258990889,-11.3805729936016,2.56937735698547e-11,3.9419387410871e-09,15.7168653664976
"ENSMUSG00000041453",0.830014779806016,9.27914490822891,11.3410464859059,2.76304938451042e-11,4.18268340634739e-09,15.6528851192235
"ENSMUSG00000039157",0.657085629143662,8.24436752453533,11.337563712797,2.78082197527984e-11,4.18268340634739e-09,15.6467838295982
"ENSMUSG00000046447",2.23513432444046,3.72765522261785,11.3211811895488,2.86602019274019e-11,4.26897881524466e-09,15.8964011464266
"ENSMUSG00000046364",0.83706190957222,8.75807790153493,11.3007679231406,2.97596795951169e-11,4.3765641138219e-09,15.5738940925311
"ENSMUSG00000032011",0.607660524434765,9.74510889204733,11.2972589844156,2.9953019942074e-11,4.3765641138219e-09,15.5613710779166
"ENSMUSG00000027669",-0.967089477135546,3.23331599629232,-11.2796099563208,3.09453358244596e-11,4.47889945489489e-09,15.8155394259453
"ENSMUSG00000015619",0.64962555678303,5.76796052908769,11.252632780546,3.25282348321585e-11,4.66400167098109e-09,15.5914222953585
"ENSMUSG00000042766",1.8388038272078,2.24929475329588,11.2475078192577,3.28382781101758e-11,4.66485984042887e-09,15.3455205139178
"ENSMUSG00000092474",2.08585501302299,0.962644520262746,11.2293007917419,3.39646523989342e-11,4.77313803788953e-09,15.5409466517152
"ENSMUSG00000032484",-3.17052119459677,2.19627996839663,-11.2252169416124,3.42227339439348e-11,4.77313803788953e-09,15.6931213367683
"ENSMUSG00000063316",0.893057683903389,8.32887372343286,11.194802229827,3.62096719433236e-11,5.00476384643667e-09,15.379763454376
"ENSMUSG00000064246",-3.63952705374521,-1.05254254881843,-11.166861495847,3.81400304544175e-11,5.22450310028279e-09,13.8372286559617
"ENSMUSG00000095687",1.19434542230462,6.2368732968849,11.158126433385,3.87650845689042e-11,5.26313210138166e-09,15.3741495119459
"ENSMUSG00000018927",-3.4160520911192,1.54556285522619,-11.1288894368049,4.09352684411485e-11,5.46990193404944e-09,14.5308471178396
"ENSMUSG00000091705",0.904104309968779,4.53259154778338,11.1278993290682,4.10109210595294e-11,5.46990193404944e-09,15.2986040697633
"ENSMUSG00000006736",0.852789034383777,4.88267160940076,11.1233858741691,4.13576211934386e-11,5.46990193404944e-09,15.4742885650256
"ENSMUSG00000093514",1.74699102409224,5.32305184511464,11.1025915185151,4.29944741935891e-11,5.59514848555275e-09,15.4165075166119
"ENSMUSG00000032496",-3.10211639438292,1.64344251562906,-11.1020996420416,4.30339930449241e-11,5.59514848555275e-09,15.3893504173621
"ENSMUSG00000060989",-1.37432841001139,4.64030102240829,-11.0793553359645,4.49029272176939e-11,5.78908159137698e-09,15.2997556044991
"ENSMUSG00000026754",-0.796625539069026,5.27301283058133,-11.0591443851014,4.66340138648236e-11,5.96215867261770e-09,15.2580127474303
"ENSMUSG00000052673",1.84737489341502,1.872283391968,11.0481107598856,4.76079958619544e-11,6.03637911168681e-09,14.7516117566996
"ENSMUSG00000022912",2.80847015060741,2.67874506130783,11.0425288345653,4.81087134223911e-11,6.04986787972397e-09,15.0569350695311
"ENSMUSG00000002944",-2.2258798613529,2.52286945818416,-11.0381311051566,4.85070332691572e-11,6.05036507654804e-09,15.3196232158634
"ENSMUSG00000021025",0.843702594620159,6.97888453462432,11.0273219163211,4.9500604047949e-11,6.12450215567447e-09,15.0872801003404
"ENSMUSG00000052253",0.722571838635439,6.08454711084554,10.9871054645193,5.33856449622211e-11,6.55234052008317e-09,15.0715294471795
"ENSMUSG00000030325",1.24147096456904,4.94061605426443,10.9519977090827,5.70343474120145e-11,6.94295986631147e-09,15.055416273224
"ENSMUSG00000056054",-3.09931512575509,1.16287402400314,-10.9479309258719,5.7473334833891e-11,6.94295986631147e-09,14.8950343956312
"ENSMUSG00000028889",0.718806634534526,4.92553177248676,10.9357730213947,5.88066407191677e-11,7.04852720244899e-09,15.0871432062109
"ENSMUSG00000062014",-0.957113004982206,7.02527099535796,-10.9246648535213,6.00527491947238e-11,7.14208742748413e-09,14.8868433394956
"ENSMUSG00000038274",0.987060498166098,9.03168777816309,10.9097707786382,6.17664849536819e-11,7.28939547814914e-09,14.8279036396639
"ENSMUSG00000040511",0.89330261100238,4.67484348584811,10.8932114296493,6.37312331808128e-11,7.46385175160328e-09,15.0288728528297
"ENSMUSG00000055170",4.54029738161837,3.50131661844017,10.8830986930024,6.49627300369555e-11,7.55044094111342e-09,14.8607513791804
"ENSMUSG00000026034",-0.682274109287102,8.34274386218011,-10.8279104904994,7.21300633099183e-11,8.32044685188546e-09,14.671501122908
"ENSMUSG00000064367",-0.889522045433695,11.1442771238405,-10.8179558117997,7.35074358952452e-11,8.41605284705113e-09,14.6452180137793
